ID,NAME
2752, Malcolm L. Brent
2753, Riley LaChance
2754, Cavan LaRose
2755, Kinnon LaRose
2756, Mike LaTulip
2757, Artur Labinowicz
2758, Tom Lacey
2759, Jamin Lackey
2760, Mogga Lado
2761, Nathan Laing
2762, Ami Lakoju
2763, Richard Laku
2764, Arkel Lamar
2765, Anthony Lamb
2766, Isaiah Lamb
2767, Ben Lammers
2768, Drake Lamont
2769, Jacob Lampkin
2770, Jock Landale
2771, Trey Landers
2772, Travon Landry
2773, Jaraan Lands
2774, Ishmael Lane
2775, Joey Lane
2776, Khadre Lane
2777, Khris Lane
2778, Shakaris Laney
2779, TJ Lang
2780, Gene Langan
2781, Ian Langendoerfer
2782, Cyril Langevine
2783, Joshua Langford
2784, Diamante Langston
2785, KJ Langston
2786, Cameron Lard
2787, Kevin Larkin
2788, Terry Larrier
2789, Xairius Larry
2790, Jacob Larsen
2791, Alex Larsson
2792, Marcus Larsson
2793, Colter Lasher
2794, Jagos Lasic
2795, D.J. Laster
2796, Mike Laster
2797, Khadeem Lattin
2798, Jordan Lauf
2799, Jonathan Laurent
2800, Dwayne Lautier-Ogunleye
2801, Deion Lavender
2802, Vic Law
2803, Anthony Lawrence Jr.
2804, Malcolm Laws
2805, A.J. Lawson
2806, Ben Lawson
2807, Dedric Lawson
2808, K.J. Lawson
2809, Lance Lawson
2810, Mike Layssard
2811, Clayton Le Sann
2812, Mike LeBlanc
2813, Craig LeCesne
2814, Seth LeDay
2815, Zach LeDay
2816, Terrance LeFlore
2817, Grant Leach
2818, TJ Leaf
2819, Marty Leahy
2820, Manu Lecomte
2821, Jacob Ledoux
2822, Kalob Ledoux
2823, Quinn Lee Yaw
2824, Alexander Lee
2825, Dederick Lee
2826, Elijah Lee
2827, Ethan Lee
2828, Greg Lee
2829, Kurk Lee
2830, Marcus Lee
2831, Paris Lee
2832, Ray Lee
2833, Richard Lee
2834, William Lee
2835, Aleer Leek
2836, Tom Leibig
2837, Colby Leifson
2838, Tanner Leissner
2839, David Leitao III
2840, Brynton Lemar
2841, Stephen Lennox
2842, Trey Lenox
2843, Justin Leon
2844, Brendan Leonard
2845, Evan Leonard
2846, Steve Leonard
2847, Andrew Leone
2848, Lionheart Leslie
2849, Chris Lester
2850, Jordan Lester
2851, Josh Lester
2852, Marquez Letcher-Ellis
2853, Kyle Leufroy
2854, Montie Leunen
2855, Demetrius Levarity
2856, Gabe Levin
2857, Chandler Levingston Simon
2858, David Levitch
2859, Jax Levitch
2860, Will Leviton
2861, Daniel Levitt
2862, Mike Lewis II
2863, Larry Lewis Jr.
2864, Abdul Lewis
2865, Cameron Lewis
2866, Chris Lewis
2867, Darius Lewis
2868, Diamante Lewis
2869, Donnie Lewis
2870, Fatodd Lewis
2871, Isaiah Lewis
2872, Jaren Lewis
2873, JeQuan Lewis
2874, Joseph Lewis
2875, Mo Lewis
2876, Rashad Lewis
2877, Tony Lewis
2878, Tyler Lewis
2879, Zach Lewis
2880, Adam Liberman
2881, Jack Lieb
2882, Jeremy Lieberman
2883, Will Lienhard
2884, Devin Liggeons
2885, Keshawn Liggins
2886, Travis Light
2887, Mitch Lightfoot
2888, Antwon Lillard
2889, Anthony Lindauer
2890, Sam Lindgren
2891, Nick Lindner
2892, Jake Lindsey
2893, Jalen Lindsey
2894, Matt Lindsey
2895, Rashad Lindsey
2896, Scottie Lindsey
2897, Eli Lininger
2898, Glorind Lisha
2899, Cameron Liss
2900, Kevin Little
2901, Gino Littles
2902, Spencer Littleson
2903, Otis Livingston II
2904, Anthony Livingston
2905, Tyler Livingston
2906, Miki Ljuboja
2907, Sean Lloyd
2908, Marcus LoVett
2909, Curtis Lochner
2910, Eric Lockett
2911, Markell Lodge
2912, Nick Loew
2913, Zach Lofton
2914, Emarius Logan
2915, Sam Logwood
2916, Tanner Lohaus
2917, Wyatt Lohaus
2918, Avery Lomax
2919, Mitch Lombard
2920, Junior Lomomba
2921, Makinde London
2922, Malik London
2923, Sean Lonergan
2924, Alex Long
2925, Cole Long
2926, Elijah Long
2927, Jakolby Long
2928, James Long
2929, Jermaine Long
2930, Lavon Long
2931, Austin Loop
2932, Tyler Loose
2933, Jesse Lopez Jr.
2934, Jack Lopez
2935, Joseph Lopez
2936, Chad Lott
2937, Pervis Louder
2938, James Love III
2939, Jesse Love
2940, Kijana Love
2941, Loudon Love
2942, Marc Loving
2943, Carlton Lowe
2944, Kenneth Lowe
2945, Trey Lowe
2946, Dishon Lowery
2947, Jeff Lowery
2948, Gage Loy
2949, Grant Lozoya
2950, Jo Lual-Acuil Jr.
2951, Rakim Lubin
2952, Landen Lucas
2953, Te'Jon Lucas
2954, Tommy Luce
2955, Andy Lucien
2956, Austin Luke
2957, Ivan Lukic
2958, Jimbo Lull
2959, Divonte Lumpkin
2960, Sanjay Lumpkin
2961, Jordan Lumpkins
2962, Xavier Lundy
2963, Jacob Lunsford
2964, Dallas Lussier
2965, Christian Lutete
2966, Collin Luther
2967, Ryan Luther
2968, Geno Luzcando
2969, Tyler Lydon
2970, JaQuan Lyle
2971, Jairus Lyles
2972, J.R. Lynch
2973, Jaquan Lynch
2974, Reggie Lynch
2975, Damon Lynn
2976, Jordan Lyons
2977, Trevor Lyons
